exchange,id,data_start
BINANCE,BINANCE_SPOT_ETH_PAX,2018-11-29
BINANCE,BINANCE_SPOT_BTC_PAX,2018-11-29
BINANCE,BINANCE_SPOT_BNB_PAX,2018-11-29
BINANCE,BINANCE_SPOT_BNB_TUSD,2019-03-12
BINANCE,BINANCE_SPOT_XMR_BNB,2019-03-14
BINANCE,BINANCE_SPOT_XMR_USDT,2019-03-15
BINANCE,BINANCE_SPOT_ZEC_USDC,2019-03-21
BINANCE,BINANCE_SPOT_ZEC_USDT,2019-03-21
BINANCE,BINANCE_SPOT_ZEC_BNB,2019-03-21
BINANCE,BINANCE_SPOT_IOST_USDT,2019-03-22
BINANCE,BINANCE_SPOT_IOST_BNB,2019-03-22
BINANCE,BINANCE_SPOT_CELR_BNB,2019-03-24
BINANCE,BINANCE_SPOT_CELR_USDT,2019-03-24
BINANCE,BINANCE_SPOT_CELR_BTC,2019-03-24
BINANCE,BINANCE_SPOT_ADA_USDC,2019-03-26
BINANCE,BINANCE_SPOT_DASH_BNB,2019-03-28
BINANCE,BINANCE_SPOT_DASH_USDT,2019-03-28
BINANCE,BINANCE_SPOT_NEO_USDC,2019-03-26
BINANCE,BINANCE_SPOT_NANO_USDT,2019-04-02
BINANCE,BINANCE_SPOT_OMG_USDT,2019-04-03
BINANCE,BINANCE_SPOT_OAX_ETH,2017-08-21
BINANCE,BINANCE_SPOT_XZC_BNB,2017-11-22
BINANCE,BINANCE_SPOT_TNT_BTC,2017-11-22
BINANCE,BINANCE_SPOT_ARN_BTC,2017-11-15
BINANCE,BINANCE_SPOT_ARN_ETH,2017-11-15
BINANCE,BINANCE_SPOT_THETA_USDT,2019-04-09
BINANCE,BINANCE_SPOT_LINK_TUSD,2019-01-16
BINANCE,BINANCE_SPOT_XRP_PAX,2018-11-29
BINANCE,BINANCE_SPOT_EOS_TUSD,2018-12-06
BINANCE,BINANCE_SPOT_BCH_TUSD,2019-01-22
BINANCE,BINANCE_SPOT_FUEL_BTC,2017-11-23
BINANCE,BINANCE_SPOT_ENJ_USDT,2019-04-17
